,track_name,artist_name,energy,key,speechiness,acousticness,instrumentalness,liveness
225,Supalonely (feat. Gus Dapperton),BENEE,0.631,7,0.0515,0.291,0.000209,0.123
226,Savage,Megan Thee Stallion,0.741,11,0.334,0.0252,0.0,0.096
227,Moral of the Story,Ashe,0.406,10,0.0427,0.587,4.48e-06,0.102
228,Rain On Me (with Ariana Grande),Lady Gaga,0.855,9,0.0397,0.021,0.0,0.323
229,Babylon,Lady Gaga,0.799,2,0.0342,0.0129,5.46e-06,0.215
230,Replay,Lady Gaga,0.878,1,0.123,0.00792,0.0,0.944
231,My Oh My (feat. DaBaby),Camila Cabello,0.491,8,0.0296,0.018,1.29e-05,0.0887
232,Physical,Dua Lipa,0.844,0,0.0457,0.0137,0.000658,0.102
233,Glitter,BENEE,0.589,7,0.0485,0.0863,0.0,0.162
234,Put Your Records On,Ritt Momney,0.491,6,0.0538,0.0563,0.00089,0.11
235,Stuck with U (with Justin Bieber),Ariana Grande,0.45,8,0.0418,0.223,0.0,0.382
236,Break My Heart,Dua Lipa,0.729,4,0.0884,0.167,1.39e-06,0.349
237,Selfish,Madison Beer,0.461,9,0.0279,0.627,0.0,0.386
238,LEMONS - Demo,Brye,0.168,4,0.304,0.901,0.0,0.134
239,The Less I Know The Better,Tame Impala,0.74,4,0.0284,0.0115,0.00678,0.167
240,Buttercup,Jack Stauber,0.373,7,0.0384,0.723,0.81,0.289
241,Dissolve,Absofacto,0.582,6,0.0542,0.23,0.000157,0.0663
242,Sunday Best,Surfaces,0.525,5,0.0578,0.183,0.0,0.0714
243,Airplane Mode,Limbo,0.373,7,0.158,0.852,0.118,0.108
244,Chinese New Year,SALES,0.845,4,0.253,0.759,0.232,0.1
245,LMK,Lil Xxel,0.457,6,0.0465,0.0292,0.000294,0.444
246,Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,0.392,7,0.475,0.112,0.0,0.0319
247,Figure It Out,Blu DeTiger,0.554,8,0.289,0.493,0.000425,0.332
248,They Call Me Tiago (Her Name Is Margo),Tiagz,0.578,0,0.0722,0.196,0.433,0.0965
249,My Heart Went Oops,Tiagz,0.412,1,0.607,0.119,0.0,0.0903
250,Muffins In The Freezer,Tiagz,0.412,0,0.434,0.0778,1.12e-06,0.0867
251,Beggin',Madcon,0.796,4,0.0534,0.0284,0.0,0.0658
252,Kolors,monte booker,0.403,2,0.205,0.263,1.56e-06,0.228
253,Play Date,Melanie Martinez,0.729,5,0.0475,0.612,0.0,0.224
254,Ride It,Regard,0.751,7,0.0874,0.177,6.43e-05,0.106
255,No Idea,Don Toliver,0.631,6,0.0896,0.519,0.000579,0.165
256,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,0.833,1,0.253,0.0277,0.0,0.0596
257,Cannibal,Kesha,0.68,1,0.106,0.0078,0.0165,0.0493
258,Lottery (Renegade),K CAMP,0.556,1,0.216,0.0145,0.000179,0.0733
259,Bad Boy,Yung Bae,0.82,1,0.0728,0.032,4.76e-06,0.0706
260,Hard Times,Paramore,0.818,5,0.0334,0.00647,4.87e-06,0.0219
261,death bed (coffee for your head),Powfu,0.431,8,0.135,0.731,0.0,0.696
262,Backyard Boy,Claire Rosinkranz,0.635,5,0.163,0.323,0.0,0.0738
263,cardigan,Taylor Swift,0.581,0,0.0424,0.537,0.000345,0.25
264,Beef FloMix,Flo Milli,0.733,11,0.142,0.216,0.0,0.274
265,Psycho!,MASN,0.312,7,0.0521,0.443,0.0,0.247
266,Party Girl,StaySolidRocky,0.431,6,0.0622,0.749,0.0,0.0996
267,Electric Love,BØRNS,0.797,6,0.0533,0.00543,0.00137,0.26
268,Producer Man,Lyn Lapid,0.639,10,0.223,0.129,0.0,0.256
269,ily (i love you baby) (feat. Emilee),Surf Mesa,0.774,11,0.0892,0.0686,0.00188,0.393
270,Mariposa,Peach Tree Rascals,0.525,9,0.028,0.617,0.0,0.356
271,FML,Arizona Zervas,0.59,2,0.121,0.0854,0.0,0.108
272,Savage Love (Laxed - Siren Beat),Jawsh 685,0.481,0,0.0803,0.234,0.0,0.269
273,Stunnin',Curtis Waters,0.604,11,0.0746,0.329,0.0,0.255
274,Deep End,Fousheé,0.592,4,0.23,0.758,0.0,0.156
275,Freak,Doja Cat,0.716,7,0.0385,0.0969,0.0,0.0989
276,Funny Thing,Thundercat,0.893,7,0.439,0.827,0.642,0.212
277,Money Trees,Kendrick Lamar,0.531,7,0.122,0.0703,0.0,0.224
278,Wait a Minute!,WILLOW,0.705,3,0.0278,0.0371,1.94e-05,0.0943
279,Eyes Blue Like The Atlantic,Sista Prod,0.279,9,0.903,0.65,0.000312,0.246
280,Mood (feat. iann dior),24kGoldn,0.716,7,0.0361,0.174,0.0,0.324
281,Mad at Disney,salem ilese,0.621,0,0.0486,0.424,7.39e-06,0.692
282,Boss Bitch,Doja Cat,0.955,10,0.222,0.127,0.0,0.202
283,Falling,Trevor Daniel,0.431,10,0.0364,0.123,0.0,0.0887
284,Moon (And It Went Like),Kid Francescoli,0.657,7,0.0345,0.288,0.856,0.102
285,Just Fine,Mary J. Blige,0.795,11,0.117,0.0394,0.000565,0.101
286,Smile,Lily Allen,0.639,5,0.0259,0.00143,0.0,0.221
287,Bulletproof,La Roux,0.882,3,0.0477,0.000441,6.47e-05,0.068
288,Heather,Conan Gray,0.425,5,0.0333,0.584,0.0,0.322
