,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
431,0.338,6,0.0592,0.452,0.00746,0.276,0
432,0.291,1,0.119,0.218,7.93e-06,0.123,0
433,0.328,6,0.0839,0.622,3.84e-05,0.518,0
434,0.403,1,0.0498,0.495,7.91e-06,0.163,0
435,0.505,11,0.168,0.173,2e-06,0.0757,0
436,0.546,1,0.0426,0.147,0.000188,0.105,0
437,0.508,8,0.0417,0.398,0.853,0.328,0
438,0.483,9,0.362,0.00333,0.0,0.0976,0
439,0.362,8,0.0651,0.00257,0.819,0.0848,0
440,0.625,8,0.0389,3.32e-05,0.0843,0.23,0
441,0.62,7,0.432,0.0927,9.46e-05,0.723,0
442,0.484,11,0.0691,0.0589,0.227,0.0874,0
443,0.0392,9,0.0424,0.793,0.804,0.111,0
444,0.0341,9,0.0356,0.946,0.932,0.0917,0
445,0.0237,11,0.0472,0.988,0.662,0.11,0
446,0.00357,1,0.0451,0.9,0.264,0.111,0
447,0.0383,9,0.0425,0.886,0.749,0.072,0
448,0.00649,9,0.0481,0.907,0.966,0.096,0
449,0.0245,0,0.0392,0.894,0.736,0.112,0
450,0.0195,1,0.0474,0.978,0.959,0.112,0
451,0.0206,3,0.0363,0.891,0.886,0.107,0
452,0.00764,9,0.0391,0.941,0.944,0.124,0
453,0.0241,5,0.042,0.856,0.937,0.108,0
454,0.0588,0,0.0557,0.993,0.893,0.108,0
455,0.00725,9,0.0301,0.923,0.906,0.109,0
456,0.0674,0,0.042,0.968,0.895,0.123,0
457,0.05,9,0.048,0.95,0.882,0.157,0
458,0.915,4,0.052,4.45e-05,0.0235,0.625,0
459,0.853,10,0.0468,3.97e-05,0.000196,0.315,0
460,0.896,4,0.0518,3.12e-05,6.28e-05,0.112,0
461,0.0616,11,0.0393,0.186,0.873,0.163,0
462,0.839,2,0.0731,0.00254,0.0969,0.287,0
463,0.69,7,0.0438,0.000425,0.0318,0.131,0
464,0.893,7,0.0515,3.14e-05,0.861,0.365,0
465,0.595,2,0.0358,0.0332,0.195,0.116,0
466,0.85,9,0.0588,0.00187,0.0264,0.121,0
467,0.0766,8,0.0465,0.774,1.12e-05,0.112,0
468,0.0688,0,0.0374,0.975,0.841,0.104,0
469,0.705,0,0.0533,0.000704,0.0183,0.165,0
470,0.649,1,0.0415,0.0616,0.376,0.146,0
471,0.924,5,0.0942,0.00123,0.00479,0.0614,0
472,0.508,2,0.103,0.288,2.77e-06,0.327,0
473,0.249,6,0.676,0.186,4.46e-05,0.136,0
474,0.651,1,0.381,0.000694,0.0,0.134,0
475,0.584,6,0.412,0.0147,2.66e-05,0.157,0
476,0.442,8,0.113,0.473,7.31e-06,0.0899,0
477,0.47,1,0.203,0.589,1.62e-06,0.193,0
478,0.273,4,0.15,0.617,0.0,0.0902,0
479,0.486,1,0.641,0.585,0.0,0.161,0
480,0.335,8,0.183,0.75,0.0,0.146,0
481,0.576,4,0.0286,0.43,0.469,0.0876,0
482,0.409,9,0.0352,0.979,0.0492,0.0976,0
483,0.286,9,0.0431,0.98,3e-06,0.112,0
484,0.312,7,0.0428,0.962,0.000454,0.118,0
485,0.414,2,0.0343,0.975,0.862,0.111,0
486,0.339,9,0.0393,0.844,1.59e-06,0.109,0
487,0.13,0,0.0617,0.924,0.0,0.219,0
488,0.0484,7,0.0777,0.955,0.00317,0.115,0
489,0.267,7,0.0364,0.983,0.509,0.126,0
490,0.673,1,0.418,0.434,0.0,0.104,0
491,0.683,1,0.33,0.0977,0.00124,0.112,0
492,0.704,5,0.0428,0.185,0.000682,0.0942,0
493,0.141,2,0.0374,0.838,0.958,0.111,0
494,0.183,2,0.0405,0.927,0.951,0.167,0
495,0.637,7,0.0464,0.742,0.959,0.142,0
