,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
375,0.316,9,0.0357,0.631,0.0,0.387,1
376,0.747,6,0.296,0.0189,7.35e-06,0.0821,1
377,0.609,7,0.0586,0.084,0.0,0.0957,1
378,0.563,5,0.11,0.113,0.0,0.191,1
379,0.579,10,0.0496,0.0107,0.362,0.15,1
380,0.211,11,0.0404,0.974,0.0,0.0987,1
381,0.872,2,0.0509,0.00351,3.84e-05,0.107,1
382,0.454,1,0.201,0.321,6.15e-06,0.114,1
383,0.724,8,0.0495,0.0167,0.0107,0.353,1
384,0.631,6,0.0893,0.524,0.000579,0.165,1
385,0.578,0,0.145,0.316,0.0,0.25,1
386,0.454,1,0.153,0.123,0.0,0.155,1
387,0.776,2,0.0312,0.729,0.0,0.181,1
388,0.595,1,0.109,0.0248,5.14e-06,0.0405,1
389,0.701,0,0.0281,0.0187,0.0464,0.251,1
390,0.568,10,0.344,0.0635,0.00932,0.118,1
391,0.635,7,0.0809,0.0935,0.0,0.0892,1
392,0.479,1,0.0385,0.66,0.0,0.0914,1
393,0.816,0,0.0465,0.122,0.0,0.335,1
394,0.585,5,0.0268,0.0509,8.75e-05,0.0833,1
395,0.657,8,0.0921,0.318,3.62e-06,0.0754,1
396,0.484,11,0.523,0.312,0.0,0.127,1
397,0.633,8,0.0597,0.0605,0.000194,0.0926,1
398,0.538,0,0.0356,0.528,0.0,0.0951,1
399,0.503,0,0.237,0.874,0.0,0.112,1
400,0.656,11,0.0678,0.494,0.0,0.36,1
401,0.663,8,0.133,0.235,0.0,0.372,1
402,0.683,7,0.0383,0.163,0.00013,0.847,1
403,0.783,5,0.0964,0.351,0.0,0.14,1
404,0.614,1,0.0838,0.00685,0.334,0.0708,1
405,0.628,0,0.179,0.186,0.0,0.105,1
406,0.415,6,0.174,0.35,0.0,0.063,1
407,0.538,1,0.0638,0.449,0.0,0.19,1
408,0.413,9,0.0702,0.287,0.0,0.0565,1
409,0.658,0,0.108,0.411,0.000738,0.0809,1
410,0.826,0,0.0309,0.0212,1.24e-05,0.543,1
411,0.355,5,0.0906,0.83,0.000938,0.11,1
412,0.688,1,0.341,0.0264,0.0,0.251,1
413,0.372,1,0.321,0.0202,9.6e-06,0.0948,1
414,0.665,1,0.0465,0.145,0.0,0.113,1
415,0.923,5,0.044,0.0098,0.0,0.0561,1
416,0.617,0,0.275,0.0151,0.0,0.356,1
417,0.674,10,0.0446,0.698,0.0,0.123,1
418,0.503,7,0.22,0.164,0.0132,0.102,1
419,0.499,11,0.114,0.269,0.0,0.3,1
420,0.151,7,0.883,0.821,4.98e-05,0.0867,1
421,0.771,4,0.0402,0.168,0.0,0.0895,1
422,0.542,2,0.131,0.132,0.00117,0.199,1
